year,gdp,inflation,unemployment
1996,67629716981.13,7.19,9.0
1997,78436578171.09,4.63,8.37
1998,84828807556.08,3.87,8.03
1999,90710704806.84,3.08,7.95
2000,99838543960.08,2.68,8.98
2001,96684636118.6,2.27,9.26
2002,85146067415.73,2.74,10.01
2003,80288461538.46,4.51,10.91
2004,78782467532.47,11.27,10.32
2005,89660339660.34,4.87,11.05
2006,107426086956.52,7.64,10.49
2007,130437828371.28,9.32,8.8
2008,162818181818.18,18.32,8.52
2009,189147005444.65,11.76,9.09
2010,218983666061.71,11.27,8.76
2011,235989672977.62,10.06,11.85
2012,279116666666.67,7.11,12.6
2013,288434108527.13,9.47,13.15
2014,305595408895.26,10.07,13.1
2015,329366576819.41,10.37,13.05
2016,332441717791.41,13.81,12.45
2017,248362771739.13,29.51,11.77
2018,262588632526.73,14.4,9.86
2019,318678815489.75,9.15,7.85
2020,383817841547.1,5.04,7.97
2021,424671765455.7,5.21,7.44
2022,476747720364.74,13.9,6.55
2023,395926075163.01,33.88,6.75
2024,389059911003.57,28.27,6.82
2025,,,6.78
