year,indicator,value
2025,gdp,
2024,gdp,389059911003.566
2023,gdp,395926075163.006
2022,gdp,476747720364.742
2021,gdp,424671765455.704
2020,gdp,383817841547.099
2019,gdp,318678815489.749
2018,gdp,262588632526.73
2017,gdp,248362771739.13
2016,gdp,332441717791.411
2015,gdp,329366576819.407
2014,gdp,305595408895.265
2013,gdp,288434108527.132
2012,gdp,279116666666.667
2011,gdp,235989672977.625
2010,gdp,218983666061.706
2009,gdp,189147005444.646
2008,gdp,162818181818.182
2007,gdp,130437828371.278
2006,gdp,107426086956.522
2005,gdp,89660339660.3397
2004,gdp,78782467532.4675
2003,gdp,80288461538.4615
2002,gdp,85146067415.7303
2001,gdp,96684636118.5984
2000,gdp,99838543960.0763
1999,gdp,90710704806.8416
1998,gdp,84828807556.0803
1997,gdp,78436578171.0914
1996,gdp,67629716981.1321
2025,inflation,
2024,inflation,28.2705899322082
2023,inflation,33.8847763115546
2022,inflation,13.8956609775177
2021,inflation,5.21404940513042
2020,inflation,5.04493288977538
2019,inflation,9.15279959324803
2018,inflation,14.4014657807421
2017,inflation,29.5066083940038
2016,inflation,13.8136062148289
2015,inflation,10.370490343517
2014,inflation,10.0702154687481
2013,inflation,9.4697198106492
2012,inflation,7.11172943343082
2011,inflation,10.0649259874818
2010,inflation,11.2651882653185
2009,inflation,11.7634954386443
2008,inflation,18.3168316831684
2007,inflation,9.31896905799229
2006,inflation,7.64452644526434
2005,inflation,4.86939696871988
2004,inflation,11.2706193320519
2003,inflation,4.50777636319303
2002,inflation,2.73723855000334
2001,inflation,2.26975720475955
2000,inflation,2.68380535348546
1999,inflation,3.07949912638332
1998,inflation,3.87257546427489
1997,inflation,4.62560578826438
1996,inflation,7.18710369719992
2025,unemployment,6.781
2024,unemployment,6.817
2023,unemployment,6.753
2022,unemployment,6.546
2021,unemployment,7.441
2020,unemployment,7.974
2019,unemployment,7.851
2018,unemployment,9.855
2017,unemployment,11.767
2016,unemployment,12.45
2015,unemployment,13.052
2014,unemployment,13.105
2013,unemployment,13.154
2012,unemployment,12.597
2011,unemployment,11.849
2010,unemployment,8.757
2009,unemployment,9.087
2008,unemployment,8.517
2007,unemployment,8.8
2006,unemployment,10.49
2005,unemployment,11.049
2004,unemployment,10.32
2003,unemployment,10.91
2002,unemployment,10.01
2001,unemployment,9.26
2000,unemployment,8.98
1999,unemployment,7.95
1998,unemployment,8.03
1997,unemployment,8.37
1996,unemployment,9.0
